date,rada_code,hromada_code
2020-08-16,7421784000,UA74080030000040714
2020-08-16,7421784400,UA74080030000040714
2020-08-16,7421784800,UA74080030000040714
2020-08-16,7421785600,UA74080030000040714
2020-08-16,7421786000,UA74080030000040714
2020-08-16,7421786800,UA74080030000040714
2020-08-16,7421787200,UA74080030000040714
2020-08-16,7421787600,UA74080030000040714
2020-08-16,7421788000,UA74080030000040714
2020-08-16,7421788400,UA74080030000040714
2020-08-16,7421788600,UA74080030000040714
2020-08-16,7421788800,UA74080030000040714
2020-08-16,7421789000,UA74080030000040714
2017-10-15,7421155100,UA74080010000063011
2017-10-15,7421182400,UA74080010000063011
2017-10-15,7421182800,UA74080010000063011
2020-08-16,7421155100,UA74080010000063011
2020-08-16,7421180400,UA74080010000063011
2020-08-16,7421180600,UA74080010000063011
2020-08-16,7421180800,UA74080010000063011
2020-08-16,7421181200,UA74080010000063011
2020-08-16,7421181600,UA74080010000063011
2020-08-16,7421182000,UA74080010000063011
2020-08-16,7421182400,UA74080010000063011
2020-08-16,7421182600,UA74080010000063011
2020-08-16,7421182800,UA74080010000063011
2020-08-16,7421182900,UA74080010000063011
2020-08-16,7421183000,UA74080010000063011
2020-08-16,7421183200,UA74080010000063011
2020-08-16,7421183600,UA74080010000063011
2020-08-16,7421184000,UA74080010000063011
2017-08-20,7424710100,UA74060070000028810
2017-08-20,7424780500,UA74060070000028810
2017-08-20,7424781000,UA74060070000028810
2017-08-20,7424781300,UA74060070000028810
2017-08-20,7424781700,UA74060070000028810
2017-08-20,7424782500,UA74060070000028810
2017-08-20,7424783000,UA74060070000028810
2017-08-20,7424783500,UA74060070000028810
2017-08-20,7424784000,UA74060070000028810
2017-08-20,7424785000,UA74060070000028810
2017-08-20,7424786000,UA74060070000028810
2017-08-20,7424786500,UA74060070000028810
2017-08-20,7424787000,UA74060070000028810
2017-08-20,7424787500,UA74060070000028810
2019-10-15,7424710100,UA74060070000028810
2019-10-15,7424780500,UA74060070000028810
2019-10-15,7424781000,UA74060070000028810
2019-10-15,7424781300,UA74060070000028810
2019-10-15,7424781700,UA74060070000028810
2019-10-15,7424782000,UA74060070000028810
2019-10-15,7424782500,UA74060070000028810
2019-10-15,7424783000,UA74060070000028810
2019-10-15,7424783500,UA74060070000028810
2019-10-15,7424784000,UA74060070000028810
2019-10-15,7424784500,UA74060070000028810
2019-10-15,7424785000,UA74060070000028810
2019-10-15,7424786000,UA74060070000028810
2019-10-15,7424786500,UA74060070000028810
2019-10-15,7424787000,UA74060070000028810
2019-10-15,7424787500,UA74060070000028810
2020-08-16,7424710100,UA74060070000028810
2020-08-16,7424780500,UA74060070000028810
2020-08-16,7424781000,UA74060070000028810
2020-08-16,7424781300,UA74060070000028810
2020-08-16,7424781500,UA74060070000028810
2020-08-16,7424781700,UA74060070000028810
2020-08-16,7424782000,UA74060070000028810
2020-08-16,7424782500,UA74060070000028810
2020-08-16,7424783000,UA74060070000028810
2020-08-16,7424783500,UA74060070000028810
2020-08-16,7424784000,UA74060070000028810
2020-08-16,7424784500,UA74060070000028810
2020-08-16,7424785000,UA74060070000028810
2020-08-16,7424786000,UA74060070000028810
2020-08-16,7424786500,UA74060070000028810
2020-08-16,7424787000,UA74060070000028810
2020-08-16,7424787500,UA74060070000028810
2019-10-13,7422255500,UA74060050000061355
2019-10-13,7422281000,UA74060050000061355
2020-08-16,7422255500,UA74060050000061355
2020-08-16,7422281000,UA74060050000061355
2020-08-16,7422284000,UA74060050000061355
