register_number,contract_name,register_date,main_municipality,cooperation_form,start,end,municipality_num,settlement,raion,oblast,key,settlement_name,settlement_code,hromada_code,hromada_name
371,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-25T00:00:00Z,"Кісницька сільська рада (с. Кісниця, вул. 1-го травня,5, Крижопільський р-н, Вінницька обл., тел. (04340) 273-42)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-30,2019-12-31,1,с. Кісниця,Крижопільський,Вінницька,Вінницька Крижопільський с. Кісниця,Кісниця,0521984002,UA05100050000038768,Городківська
371,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-25T00:00:00Z,"Кісницька сільська рада (с. Кісниця, вул. 1-го травня,5, Крижопільський р-н, Вінницька обл., тел. (04340) 273-42)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-30,2019-12-31,2,с. Крикливець,Крижопільський,Вінницька,Вінницька Крижопільський с. Крикливець,Крикливець,0521984401,UA05100070000035159,Крижопільська
371,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-25T00:00:00Z,"Кісницька сільська рада (с. Кісниця, вул. 1-го травня,5, Крижопільський р-н, Вінницька обл., тел. (04340) 273-42)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-30,2019-12-31,3,с. Вербка,Крижопільський,Вінницька,Вінницька Крижопільський с. Вербка,Вербка,0521980401,UA05100050000038768,Городківська
371,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-25T00:00:00Z,"Кісницька сільська рада (с. Кісниця, вул. 1-го травня,5, Крижопільський р-н, Вінницька обл., тел. (04340) 273-42)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-30,2019-12-31,4,с. Красносілка,Крижопільський,Вінницька,Вінницька Крижопільський с. Красносілка,Красносілка,0521984201,UA05100070000035159,Крижопільська
371,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-25T00:00:00Z,"Кісницька сільська рада (с. Кісниця, вул. 1-го травня,5, Крижопільський р-н, Вінницька обл., тел. (04340) 273-42)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-30,2019-12-31,5,с. Шарапанівка,Крижопільський,Вінницька,Вінницька Крижопільський с. Шарапанівка,Шарапанівка,0521986601,UA05100070000035159,Крижопільська
371,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-25T00:00:00Z,"Кісницька сільська рада (с. Кісниця, вул. 1-го травня,5, Крижопільський р-н, Вінницька обл., тел. (04340) 273-42)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-30,2019-12-31,6,с. Гарячківка,Крижопільський,Вінницька,Вінницька Крижопільський с. Гарячківка,Гарячківка,0521981502,UA05100050000038768,Городківська
371,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-25T00:00:00Z,"Кісницька сільська рада (с. Кісниця, вул. 1-го травня,5, Крижопільський р-н, Вінницька обл., тел. (04340) 273-42)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-30,2019-12-31,7,с. Городківка,Крижопільський,Вінницька,Вінницька Крижопільський с. Городківка,Городківка,0521981201,UA05100050000038768,Городківська
371,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-25T00:00:00Z,"Кісницька сільська рада (с. Кісниця, вул. 1-го травня,5, Крижопільський р-н, Вінницька обл., тел. (04340) 273-42)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-30,2019-12-31,8,с. Павлівка,Крижопільський,Вінницька,Вінницька Крижопільський с. Павлівка,Павлівка,0521985801,UA05100070000035159,Крижопільська
371,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-25T00:00:00Z,"Кісницька сільська рада (с. Кісниця, вул. 1-го травня,5, Крижопільський р-н, Вінницька обл., тел. (04340) 273-42)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-30,2019-12-31,10,с. Джугастра,Крижопільський,Вінницька,Вінницька Крижопільський с. Джугастра,Джугастра,0521982001,UA05100050000038768,Городківська
371,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-25T00:00:00Z,"Кісницька сільська рада (с. Кісниця, вул. 1-го травня,5, Крижопільський р-н, Вінницька обл., тел. (04340) 273-42)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-30,2019-12-31,12,с. Дахталія,Крижопільський,Вінницька,Вінницька Крижопільський с. Дахталія,Дахталія,0521981801,UA05100050000038768,Городківська
