object_name_ua,Persons,object_name_en,oblast,raion,settlement_type,settlement_name,key,hromada_name,hromada_code
м. Нікополь,105160,city Nikopol,Дніпропетровська,Нікопольський,місто,Нікополь,Дніпропетровська Нікопольський місто Нікополь,Нікопольська,UA12080050000062712
м. Покров,37493,city Pokrov,Дніпропетровська,Нікопольський,місто,Покров,Дніпропетровська Нікопольський місто Покров,Покровська,UA12080090000039979
смт Гірницьке,341,stlmt Hirnytske,Дніпропетровська,Нікопольський,селище міського типу,Гірницьке,Дніпропетровська Нікопольський селище міського типу Гірницьке,Покровська,UA12080090000039979
смт Мар’ївка,342,stlmt Marivka,Дніпропетровська,Нікопольський,селище міського типу,Мар’ївка,Дніпропетровська Нікопольський селище міського типу Мар’ївка,Марганецька,UA12080010000029838
смт Томаківка,6559,stlmt Tomakivka,Дніпропетровська,Нікопольський,селище міського типу,Томаківка,Дніпропетровська Нікопольський селище міського типу Томаківка,Томаківська,UA12080130000071360
смт Червоногригорівка,6030,stlmt Chervonohryhorivka,Дніпропетровська,Нікопольський,селище міського типу,Червоногригорівка,Дніпропетровська Нікопольський селище міського типу Червоногригорівка,Червоногригорівська,UA12080150000061416
смт Чортомлик,1290,stlmt Chortomlyk,Дніпропетровська,Нікопольський,селище міського типу,Чортомлик,Дніпропетровська Нікопольський селище міського типу Чортомлик,Покровська,UA12080090000039979
м. Новомосковськ,69855,city Novomoskovsk,Дніпропетровська,Новомосковський,місто,Новомосковськ,Дніпропетровська Новомосковський місто Новомосковськ,Новомосковська,UA12100070000011492
м. Перещепине,9639,city Pereshchepyne,Дніпропетровська,Новомосковський,місто,Перещепине,Дніпропетровська Новомосковський місто Перещепине,Перещепинська,UA12100090000022751
смт Гвардійське,6024,stlmt Hvardiiske,Дніпропетровська,Новомосковський,селище міського типу,Гвардійське,Дніпропетровська Новомосковський селище міського типу Гвардійське,Черкаська,UA12100130000095653
смт Губиниха,5323,stlmt Hubynykha,Дніпропетровська,Новомосковський,селище міського типу,Губиниха,Дніпропетровська Новомосковський селище міського типу Губиниха,Губиниська,UA12100010000093577
смт Магдалинівка,6119,stlmt Mahdalynivka,Дніпропетровська,Новомосковський,селище міського типу,Магдалинівка,Дніпропетровська Новомосковський селище міського типу Магдалинівка,Магдалинівська,UA12100050000045992
смт Меліоративне,3963,stlmt Melioratyvne,Дніпропетровська,Новомосковський,селище міського типу,Меліоративне,Дніпропетровська Новомосковський селище міського типу Меліоративне,Піщанська,UA12100110000043499
смт Черкаське,4117,stlmt Cherkaske,Дніпропетровська,Новомосковський,селище міського типу,Черкаське,Дніпропетровська Новомосковський селище міського типу Черкаське,Черкаська,UA12100130000095653
м. Павлоград,101430,city Pavlohrad,Дніпропетровська,Павлоградський,місто,Павлоград,Дніпропетровська Павлоградський місто Павлоград,Павлоградська,UA12120070000057518
м. Тернівка,26961,city Ternivka,Дніпропетровська,Павлоградський,місто,Тернівка,Дніпропетровська Павлоградський місто Тернівка,Тернівська,UA12120090000031622
смт Юр’ївка,2126,stlmt Yurivka,Дніпропетровська,Павлоградський,селище міського типу,Юр’ївка,Дніпропетровська Павлоградський селище міського типу Юр’ївка,Юр’ївська,UA12120130000021632
м. Першотравенськ,27099,city Pershotravensk,Дніпропетровська,Синельниківський,місто,Першотравенськ,Дніпропетровська Синельниківський місто Першотравенськ,Першотравенська,UA12140210000089021
м. Синельникове,29651,city Synelnykove,Дніпропетровська,Синельниківський,місто,Синельникове,Дніпропетровська Синельниківський місто Синельникове,Синельниківська,UA12140310000078816
