hromada_code,hromada_name,year,budget_planned,budget_executed,budget_executed_2015
UA71060090000088339,Жашківська,2020,9342.886,8655.662,5183.031137724552
UA71060090000088339,Жашківська,2021,602.074,602.074,305.6213197969543
UA71060150000062190,Маньківська,2015,617.9,617.9,617.9
UA71060150000062190,Маньківська,2021,6732.992,6731.353,3416.930456852792
UA71060170000092613,Монастирищенська,2017,2961.955,2961.955,2388.673387096774
UA71060170000092613,Монастирищенська,2018,5929.946,3949.345,2598.253289473684
UA71060170000092613,Монастирищенська,2019,1782.538,1752.204,1088.3254658385092
UA71060190000086831,Паланська,2018,1695.475,1129.187,742.8861842105263
UA71060190000086831,Паланська,2019,469.604,325.469,202.15465838509314
UA71060210000032972,Уманська,2019,19811.286,15262.002,9479.504347826087
UA71060210000032972,Уманська,2021,47000,46976.368,23845.872081218276
UA71060230000095772,Христинівська,2015,2157.4,1966.5,1966.5
UA71060230000095772,Христинівська,2016,3440.192,3187.562,2924.368807339449
UA71060230000095772,Христинівська,2017,8163.873,8163.873,6583.768548387096
UA71060230000095772,Христинівська,2018,16642.385,12370.158,8138.261842105263
UA71060230000095772,Христинівська,2019,3827.1949999999997,3810.792,2366.9515527950307
UA71080050000028174,Білозірська,2016,911.088,884.2459999999999,811.2348623853209
UA71080050000028174,Білозірська,2017,1885.162,1739.827,1403.0862903225807
UA71080050000028174,Білозірська,2018,506.522,506.522,333.23815789473684
UA71080050000028174,Білозірська,2019,1877.577,1877.577,1166.1968944099378
UA71080050000028174,Білозірська,2021,4642.575,4642.575,2356.6370558375634
UA71080110000055395,Городищенська,2021,6382.84,6382.84,3240.020304568528
UA71080130000078619,Кам’янська,2015,4507.253000000001,3939.652,3939.652
UA71080130000078619,Кам’янська,2016,2043.922,1675.004,1536.7009174311925
UA71080130000078619,Кам’янська,2017,274.234,274.234,221.15645161290323
UA71080130000078619,Кам’янська,2018,5361.432,4088.886,2690.0565789473685
UA71080130000078619,Кам’янська,2019,1145.29,1145.29,711.3602484472049
UA71080130000078619,Кам’янська,2020,7869.528,6487.51,3884.736526946108
UA71080130000078619,Кам’янська,2021,200,200,101.5228426395939
UA71080150000071745,Канівська,2015,3800,3800,3800
UA71080150000071745,Канівська,2016,2843.434,2736.956,2510.9688073394495
UA71080190000038712,Леськівська,2016,2768.746,2757.259,2529.5954128440367
UA71080210000074132,Ліплявська,2016,3889.101,3799.48848,3485.7692477064215
UA71080210000074132,Ліплявська,2018,906.456,0,0
UA71080250000099725,Михайлівська,2018,1895.48,1652.098,1086.9065789473684
UA71080250000099725,Михайлівська,2019,219.043,219.043,136.05155279503106
UA71080330000082129,Ротмістрівська,2018,3118.714,1783.912,1173.6263157894737
UA71080330000082129,Ротмістрівська,2019,1121.39,135.573,84.20683229813665
UA71080350000033809,Руськополянська,2018,622.607,0,0
UA71080390000078978,Смілянська,2015,9746.858,9547.77,9547.77
UA71080390000078978,Смілянська,2017,12919.616,9280.33,7484.137096774193
UA71080390000078978,Смілянська,2018,21196.414,13676.582,8997.751315789474
UA71080390000078978,Смілянська,2019,16247.726,9022.48,5604.024844720497
UA71080390000078978,Смілянська,2020,6007.902,5687.346,3405.596407185629
UA71080390000078978,Смілянська,2021,8304.754,8304.594,4215.529949238578
UA71080490000022110,Черкаська,2015,69319.52799999999,69279.932,69279.932
UA71080490000022110,Черкаська,2016,53395.05,52511.3382,48175.53963302752
UA71080490000022110,Черкаська,2017,79720.062,75804.62599999999,61132.7629032258
UA71080490000022110,Черкаська,2018,173038.114,110064.362,72410.7644736842
UA71080490000022110,Черкаська,2019,271991.334,206184.968,128065.19751552794
UA71080490000022110,Черкаська,2020,174738.074,148793.158,89097.6994011976
UA71080490000022110,Черкаська,2021,46215.39,34494.93,17510.116751269037
UA71080510000028067,Чигиринська,2016,5738.348,5547.50294,5089.45223853211
UA73020050000061546,Брусницька,2018,898.322,898.322,591.0013157894737
UA73020070000035367,Вашківецька,2016,8621.903,8621.903,7910.002752293578
UA73020070000035367,Вашківецька,2017,12000,11729.397,9459.191129032259
UA73020070000035367,Вашківецька,2018,236.268,0,0
UA73020070000035367,Вашківецька,2019,7454.86,7454.86,4630.347826086956
UA73020070000035367,Вашківецька,2020,11228.318,11228.318,6723.54371257485
UA73020070000035367,Вашківецька,2021,4990,4990,2532.994923857868
